Kommentar >4. Zündung, 22.04.2016 Name 10 0< Sondennamen 


DatumZeit:22.04.2016 13:12:614
Dateiname:./messdaten/tank8_013.dat

"Section HEADER"
Zeit [s]:	Spannung TW [V]:	Strom TW [A]:	Spannung SP [V]:	Strom SP [A]:	Tankdruck [mV]:	
Gas K [mg/s]:	Gas A [mg/s]:	Schub [mV]:	TWasser AN [C]:	TWasser KA [C]:	TWasser GH [C]:	
TWasser SP [C]:	TWasser ST [C]:	TSchlauch AN [C]:	TSchlauch SP [C]:	T Kraftsensor [C]:	Tankdruck PF [Pa]:	
Leistung TW [kW]:	Leistung SP [kW]:	Schub [mN]:	Fremdfeld [mT]:	
EndSection


Section "Data"
1.95	78.53	335.511	37.339	472.362	5382.500	19.987	59.860	9.826	24.24	23.51	24.49	23.27	23.68	23.43	24.89	22.05	0.436	26.349	17.638	22	100.582	
2.05	78.53	335.511	37.339	472.362	5382.500	19.987	59.860	9.826	24.16	23.51	24.57	24.57	23.68	23.03	24.89	21.73	0.436	26.349	17.638	22	100.582	
2.12	79.29	335.128	33.414	470.088	5382.500	19.974	59.834	9.826	24.16	23.51	24.57	24.57	23.68	23.03	24.89	21.73	0.436	26.571	15.707	22	100.099	
2.17	79.29	335.128	33.414	470.088	5382.500	19.974	59.834	10.865	24.16	23.51	24.57	24.57	23.68	23.03	24.89	21.73	0.436	26.571	15.707	24	100.099	
2.25	79.29	335.128	33.414	470.088	5382.500	19.974	59.834	10.865	24.00	22.86	24.08	22.78	24.16	23.68	24.49	21.40	0.436	26.571	15.707	24	100.099	
2.33	78.89	336.483	37.533	473.001	5382.500	19.987	59.860	10.865	24.00	22.86	24.08	22.78	24.16	23.68	24.49	21.40	0.436	26.546	17.753	24	100.718	
2.38	78.89	336.483	37.533	473.001	5382.500	19.987	59.860	10.865	24.00	22.86	24.08	22.78	24.16	23.68	24.49	21.40	0.436	26.546	17.753	24	100.718	
2.45	78.89	336.483	37.533	473.001	5382.500	19.987	59.860	10.865	24.36	23.55	24.77	23.95	23.71	23.14	25.01	21.84	0.436	26.546	17.753	24	100.718	
2.54	79.68	335.128	33.251	470.415	5382.500	19.974	59.860	11.025	24.36	23.55	24.77	23.95	23.71	23.14	25.01	21.84	0.436	26.702	15.642	24	100.168	
2.58	79.68	335.128	33.251	470.415	5382.500	19.974	59.860	11.025	24.69	23.55	23.95	20.30	23.87	24.03	25.17	21.68	0.436	26.702	15.642	24	100.168	
2.66	79.68	335.128	33.251	470.415	5382.500	19.974	59.860	11.025	24.69	23.55	23.95	20.30	23.87	24.03	25.17	21.68	0.436	26.702	15.642	24	100.168	
2.72	78.96	335.904	37.210	472.674	5382.500	19.987	59.834	11.025	24.69	23.55	23.95	20.30	23.87	24.03	25.17	21.68	0.436	26.523	17.588	24	100.648	
2.82	78.96	335.904	37.210	472.674	5382.500	19.987	59.834	10.543	24.28	24.36	23.95	23.06	22.98	24.03	24.85	22.49	0.436	26.523	17.588	23	100.648	
2.90	79.51	334.155	34.160	471.069	5382.500	19.974	59.834	10.543	24.28	24.36	23.95	23.06	22.98	24.03	24.85	22.49	0.436	26.570	16.092	23	100.307	
2.96	79.51	334.155	34.160	471.069	5382.500	19.974	59.834	11.266	24.28	24.36	23.95	23.06	22.98	24.03	24.85	22.49	0.436	26.570	16.092	25	100.307	
3.03	79.51	334.155	36.301	472.362	5381.188	19.974	59.834	11.266	24.52	23.46	23.63	20.78	23.87	24.44	24.93	21.68	0.434	26.570	17.147	25	100.582	
